,Quarter,Tm,Detail,DAY,BUF
0,1.0,Bisons,Len Watters unknown yard pass from Benny Boynton (Benny Boynton kick),0,7
1,1.0,Triangles,Armin Mahrt unknown yard rush,6,7
2,3.0,Bisons,Pete Calac unknown yard rush (Benny Boynton kick),6,14
