,Quarter,Tm,Detail,PHO,DAL
0,1.0,Cowboys,Eddie Murray 44 yard field goal,0,3
1,2.0,Cowboys,Emmitt Smith 4 yard rush (Eddie Murray kick),0,10
2,2.0,Cowboys,Jay Novacek 1 yard pass from Bernie Kosar (Eddie Murray kick),0,17
3,3.0,Cardinals,Greg Davis 19 yard field goal,3,17
4,3.0,Cardinals,Larry Centers 17 yard pass from Chris Chandler (Greg Davis kick),10,17
5,4.0,Cowboys,Eddie Murray 43 yard field goal,10,20
6,4.0,Cardinals,"Safety, Kosar called for intentional grounding in end zone",12,20
7,4.0,Cardinals,Greg Davis 47 yard field goal,15,20
