,Quarter,Time,Tm,Detail,SDG,OAK
0,2.0,,Chargers,John Carney 39 yard field goal,3,0
1,4.0,,Chargers,John Carney 48 yard field goal,6,0
2,4.0,1:38,Raiders,James Jett 68 yard pass from Wade Wilson (Greg Davis kick),6,7
