,Quarter,Tm,Detail,TAM,PHI
0,2.0,Eagles,Tom Sullivan 7 yard pass from Ron Jaworski (Horst Muhlmann kick),0,7
1,3.0,Buccaneers,Dave Green 22 yard field goal,3,7
2,3.0,Eagles,Keith Krepfle 17 yard pass from Ron Jaworski,3,13
