,Quarter,Tm,Detail,SDG,RAI
0,1.0,Raiders,Chris Bahr 20 yard field goal,0,3
1,1.0,Raiders,Jessie Hester 13 yard rush (Chris Bahr kick),0,10
2,2.0,Chargers,Gary Anderson 52 yard pass from Dan Fouts (Bob Thomas kick),7,10
3,2.0,Raiders,Marcus Allen 3 yard rush (Chris Bahr kick),7,17
4,2.0,Raiders,Marcus Allen 1 yard rush (Chris Bahr kick),7,24
5,3.0,Chargers,Gary Anderson 4 yard rush (Bob Thomas kick),14,24
6,3.0,Raiders,Marcus Allen 4 yard rush (Chris Bahr kick),14,31
7,4.0,Raiders,Chris Bahr 35 yard field goal,14,34
8,4.0,Chargers,Jesse Bendross 1 yard pass from Dan Fouts (Bob Thomas kick),21,34
