,Quarter,Time,Tm,Detail,WAS,SDG
0,1.0,11:31,Chargers,Tim Dwight 84 yard punt return (Wade Richey kick),0,7
1,1.0,3:47,Chargers,Wade Richey 21 yard field goal,0,10
2,2.0,9:04,Chargers,LaDainian Tomlinson 3 yard rush (Wade Richey kick),0,17
3,2.0,0:34,Chargers,Wade Richey 48 yard field goal,0,20
4,3.0,0:36,Redskins,Brett Conway 40 yard field goal,3,20
5,4.0,10:38,Chargers,Wade Richey 32 yard field goal,3,23
6,4.0,4:16,Chargers,LaDainian Tomlinson 1 yard rush (Wade Richey kick),3,30
