,Quarter,Time,Tm,Detail,NYG,WAS
0,1.0,5:47,Giants,Ahmad Bradshaw 3 yard rush (Lawrence Tynes kick),7,0
1,2.0,14:21,Giants,Ahmad Bradshaw 4 yard rush (Lawrence Tynes kick),14,0
2,2.0,8:05,Giants,Lawrence Tynes 38 yard field goal,17,0
3,2.0,4:36,Giants,Steve Smith 6 yard pass from Eli Manning (Lawrence Tynes kick),24,0
4,3.0,10:30,Redskins,Fred Davis 11 yard pass from Jason Campbell (Graham Gano kick failed),24,6
5,3.0,6:21,Giants,Derek Hagan 23 yard pass from Eli Manning (Lawrence Tynes kick),31,6
6,3.0,6:07,Giants,Terrell Thomas 14 yard interception return (Lawrence Tynes kick),38,6
7,3.0,0:09,Redskins,Quinton Ganther 1 yard rush (run failed),38,12
8,4.0,12:48,Giants,Mario Manningham 25 yard pass from Eli Manning (Lawrence Tynes kick),45,12
