,Quarter,Time,Tm,Detail,ATL,NWE
0,2.0,12:26,Patriots,Brandin Cooks 11 yard pass from Tom Brady (Stephen Gostkowski kick),0,7
1,2.0,4:42,Patriots,Stephen Gostkowski 29 yard field goal,0,10
2,2.0,0:21,Patriots,James White 2 yard pass from Tom Brady (Stephen Gostkowski kick),0,17
3,3.0,4:12,Patriots,Stephen Gostkowski 21 yard field goal,0,20
4,4.0,9:15,Patriots,Stephen Gostkowski 38 yard field goal,0,23
5,4.0,4:09,Falcons,Julio Jones 1 yard pass from Matt Ryan (Matt Bryant kick),7,23
