,Quarter,Tm,Detail,BKN,NYG
0,2.0,Dodgers,Pug Manders 3 yard rush (Merl Condit kick),7,0
1,3.0,Dodgers,Pug Manders 65 yard interception return (Merl Condit kick),14,0
2,4.0,Dodgers,Pug Manders 2 yard rush (Merl Condit kick),21,0
3,4.0,Giants,Kay Eakin 38 yard pass from Hank Soar (Hank Soar kick),21,7
