,Quarter,Time,Tm,Detail,DET,DEN
0,1.0,11:20,Broncos,Matt Prater 39 yard field goal,0,3
1,1.0,8:40,Lions,Titus Young 41 yard pass from Matthew Stafford (Jason Hanson kick),7,3
2,2.0,14:44,Lions,Jason Hanson 50 yard field goal,10,3
3,2.0,4:11,Lions,Tony Scheffler 1 yard pass from Matthew Stafford (Jason Hanson kick),17,3
4,2.0,0:29,Lions,Maurice Morris 1 yard rush (Jason Hanson kick),24,3
5,3.0,13:26,Lions,Cliff Avril 24 yard defensive fumble return (Jason Hanson kick),31,3
6,3.0,6:18,Lions,Calvin Johnson 56 yard pass from Matthew Stafford (Jason Hanson kick),38,3
7,4.0,12:04,Lions,Chris Houston 100 yard interception return (Jason Hanson kick),45,3
8,4.0,8:19,Broncos,Eric Decker 14 yard pass from Tim Tebow (Matt Prater kick),45,10
