,Quarter,Tm,Detail,MIA,CLE
0,1.0,Browns,Matt Bahr 32 yard field goal,0,3
1,1.0,Browns,Matt Bahr 19 yard field goal,0,6
2,2.0,Dolphins,Fuad Reveiz 20 yard field goal,3,6
3,2.0,Browns,Harry Holt 16 yard rush (Matt Bahr kick),3,13
4,2.0,Dolphins,Mark Duper 24 yard pass from Dan Marino (Fuad Reveiz kick),10,13
5,2.0,Browns,Matt Bahr 18 yard field goal,10,16
6,3.0,Browns,Curtis Dickey 13 yard rush (Matt Bahr kick),10,23
7,4.0,Browns,Matt Bahr 21 yard field goal,10,26
8,4.0,Dolphins,Mark Clayton 22 yard pass from Dan Marino,16,26
