,Quarter,Tm,Detail,CAN,PRV
0,1.0,Steam Roller,Curly Oden unknown yard rush (Cy Wentworth kick),0,7
1,2.0,Steam Roller,Curly Oden 65 yard punt return (Cy Wentworth kick),0,14
2,2.0,Bulldogs,"Safety,",2,14
3,3.0,Steam Roller,Curly Oden 21 yard rush (Cy Wentworth run),2,21
