,Quarter,Time,Tm,Detail,SFO,SEA
0,1.0,8:38,Seahawks,Blair Walsh 25 yard field goal,0,3
1,1.0,0:49,Seahawks,Blair Walsh 27 yard field goal,0,6
2,2.0,1:55,49ers,Robbie Gould 40 yard field goal,3,6
3,2.0,0:17,49ers,Robbie Gould 37 yard field goal,6,6
4,4.0,11:36,49ers,Robbie Gould 34 yard field goal,9,6
5,4.0,7:06,Seahawks,Paul Richardson 9 yard pass from Russell Wilson (Blair Walsh kick failed),9,12
