,Quarter,Tm,Detail,PHI,DAL
0,2.0,Cowboys,Lance Rentzel 86 yard pass from Craig Morton (Mike Clark kick),0,7
1,2.0,Cowboys,Bob Hayes 40 yard pass from Craig Morton (Mike Clark kick),0,14
2,3.0,Eagles,Ben Hawkins 78 yard pass from Norm Snead (Mark Moseley kick),7,14
3,3.0,Cowboys,Lance Rentzel 56 yard pass from Craig Morton (Mike Clark kick),7,21
4,3.0,Eagles,Mark Moseley 19 yard field goal,10,21
5,4.0,Eagles,Gary Ballman 13 yard pass from Norm Snead (Mark Moseley kick),17,21
