,Quarter,Tm,Detail,DAL,WAS
0,1.0,Redskins,George Rogers 1 yard rush (Ali Haji-Sheikh kick),0,7
1,1.0,Cowboys,Roger Ruzek 22 yard field goal,3,7
2,2.0,Redskins,Ali Haji-Sheikh 31 yard field goal,3,10
3,2.0,Redskins,Gary Clark 56 yard pass from Jay Schroeder (Ali Haji-Sheikh kick),3,17
4,3.0,Redskins,George Rogers 1 yard rush (Ali Haji-Sheikh kick),3,24
5,3.0,Cowboys,Roger Ruzek 37 yard field goal,6,24
6,3.0,Cowboys,Mike Renfro 25 yard pass from Danny White (Roger Ruzek kick),13,24
7,4.0,Cowboys,Rod Barksdale 5 yard pass from Danny White (Roger Ruzek kick),20,24
