,Quarter,Tm,Detail,MIN,TAM
0,1.0,Vikings,Chris Doleman 59 yard interception return (Chuck Nelson kick),7,0
1,1.0,Vikings,Chuck Nelson 31 yard field goal,10,0
2,1.0,Buccaneers,Donald Igwebuike 37 yard field goal,10,3
3,2.0,Vikings,Mike Mularkey 10 yard pass from Tommy Kramer (Chuck Nelson kick),17,3
4,2.0,Buccaneers,Jimmie Giles 1 yard pass from Steve DeBerg (Donald Igwebuike kick),17,10
5,4.0,Vikings,Chuck Nelson 35 yard field goal,20,10
6,4.0,Vikings,Chuck Nelson 27 yard field goal,23,10
