,Quarter,Tm,Detail,RAM,MIN
0,1.0,Vikings,Fran Tarkenton 4 yard rush (Fred Cox kick),0,7
1,1.0,Rams,Carver Shannon 99 yard kickoff return (Danny Villanueva kick),7,7
2,1.0,Rams,Danny Villanueva 47 yard field goal,10,7
3,3.0,Vikings,Jerry Reichow 10 yard pass from Fran Tarkenton (Fred Cox kick),10,14
4,3.0,Vikings,Paul Flatley 27 yard pass from Fran Tarkenton (Fred Cox kick),10,21
5,4.0,Rams,Danny Villanueva 40 yard field goal,13,21
