,Quarter,Tm,Detail,TAM,DET
0,1.0,Lions,Bo Robinson 7 yard rush (Benny Ricardo kick),0,7
1,2.0,Buccaneers,Neil O'Donoghue 32 yard field goal,3,7
2,3.0,Buccaneers,Neil O'Donoghue 39 yard field goal,6,7
3,3.0,Lions,Freddie Scott 14 yard pass from Jeff Komlo (Benny Ricardo kick),6,14
4,4.0,Buccaneers,Neil O'Donoghue 28 yard field goal,9,14
5,4.0,Buccaneers,Larry Mucker 23 yard pass from Doug Williams (Neil O'Donoghue kick),16,14
