,Quarter,Tm,Detail,BAL,CLE
0,1.0,Browns,Mike Pruitt 4 yard rush (Matt Bahr kick),0,7
1,1.0,Colts,Raul Allegre 31 yard field goal,3,7
2,1.0,Browns,Willis Adams 15 yard pass from Brian Sipe (Matt Bahr kick),3,14
3,2.0,Colts,Randy McMillan 4 yard pass from Mike Pagel (Raul Allegre kick),10,14
4,2.0,Browns,Ozzie Newsome 66 yard pass from Brian Sipe (Matt Bahr kick),10,21
5,2.0,Colts,Randy McMillan 2 yard rush (Raul Allegre kick),17,21
6,2.0,Browns,Dave Logan 9 yard pass from Brian Sipe (Matt Bahr kick),17,28
7,3.0,Browns,Matt Bahr 26 yard field goal,17,31
8,3.0,Browns,Mike Pruitt 2 yard rush (Matt Bahr kick),17,38
9,4.0,Colts,Ray Butler 7 yard pass from Mike Pagel,23,38
10,4.0,Browns,Matt Bahr 27 yard field goal,23,41
