,Quarter,Tm,Detail,RAM,PHI
0,1.0,Rams,Mike Lansford 22 yard field goal,3,0
1,2.0,Eagles,Luis Zendejas 23 yard field goal,3,3
2,2.0,Eagles,Keith Jackson 22 yard pass from Randall Cunningham (Luis Zendejas kick),3,10
3,2.0,Rams,Henry Ellard 25 yard pass from Jim Everett (Mike Lansford kick),10,10
4,3.0,Eagles,Keith Byars 37 yard pass from Randall Cunningham (Luis Zendejas kick),10,17
5,3.0,Eagles,Luis Zendejas 50 yard field goal,10,20
6,4.0,Eagles,Keith Jackson 2 yard pass from Randall Cunningham (Luis Zendejas kick),10,27
7,4.0,Rams,Greg Bell 1 yard rush (Mike Lansford kick),17,27
8,4.0,Rams,Buford McGee 14 yard pass from Jim Everett (Mike Lansford kick),24,27
9,4.0,Eagles,Luis Zendejas 40 yard field goal,24,30
