,Quarter,Tm,Detail,COL,CRD
0,1.0,Cardinals,Paddy Driscoll unknown yard field goal,0,3
1,1.0,Tigers,George Rohleder unknown yard field goal,3,3
2,2.0,Cardinals,Paddy Driscoll 15 yard field goal,3,6
3,2.0,Cardinals,Paul McNulty interception in end zone (Paddy Driscoll kick),3,13
4,3.0,Tigers,George Rohleder unknown yard field goal,6,13
5,3.0,Tigers,George Rohleder unknown yard field goal,9,13
6,3.0,Cardinals,Paddy Driscoll 50 yard field goal,9,16
7,4.0,Cardinals,Paddy Driscoll 35 yard field goal,9,19
