,Quarter,Tm,Detail,NYG,PIT
0,2,Pirates,Bill Sortet 11 yard pass from Ed Matesic (Armand Niccolai kick),0,7
1,3,Giants,Kink Richards 59 yard touchdown on a lateral (Tony Sarausky kick),7,7
2,4,Pirates,Armand Niccolai 11 yard field goal,7,10
