,Quarter,Time,Tm,Detail,KAN,SEA
0,1.0,,Seahawks,Todd Peterson 49 yard field goal,0,3
1,1.0,,Chiefs,Willie Davis 60 yard pass from Steve Bono (Lin Elliott kick),7,3
2,2.0,,Chiefs,Lin Elliott 46 yard field goal,10,3
3,2.0,,Chiefs,Willie Davis 40 yard pass from Steve Bono (Lin Elliott kick),17,3
4,2.0,,Chiefs,Lin Elliott 49 yard field goal,20,3
5,3.0,15:00,Chiefs,Tamarick Vanover 99 yard kickoff return (Lin Elliott kick),27,3
6,3.0,15:00,Chiefs,Lake Dawson 16 yard pass from Steve Bono (Lin Elliott kick),34,3
7,4.0,15:00,Seahawks,Brian Blades 21 yard pass from John Friesz (Todd Peterson kick),34,10
