,Quarter,Tm,Detail,DEN,KAN
0,1.0,Broncos,Gerald Willhite 1 yard rush (Rich Karlis kick),7,0
1,1.0,Broncos,Rich Karlis 24 yard field goal,10,0
2,2.0,Broncos,Gene Lang 1 yard rush (Rich Karlis kick),17,0
3,2.0,Broncos,Gerald Willhite 3 yard rush (Rich Karlis kick),24,0
4,2.0,Chiefs,Ethan Horton 1 yard rush (Nick Lowery kick),24,7
5,2.0,Broncos,Rich Karlis 23 yard field goal,27,7
6,3.0,Chiefs,Nick Lowery 33 yard field goal,27,10
7,4.0,Broncos,Rich Karlis 19 yard field goal,30,10
