,Quarter,Tm,Detail,MIN,CHI
0,1.0,Vikings,Roger Craig 1 yard rush (Fuad Reveiz kick),7,0
1,2.0,Vikings,Terry Allen 1 yard rush (Fuad Reveiz kick),14,0
2,2.0,Bears,Kevin Butler 28 yard field goal,14,3
3,3.0,Vikings,Jack Del Rio 84 yard interception return (Fuad Reveiz kick),21,3
4,3.0,Vikings,Fuad Reveiz 28 yard field goal,24,3
5,4.0,Vikings,Steve Jordan 60 yard pass from Rich Gannon (Fuad Reveiz kick),31,3
6,4.0,Vikings,Carlos Jenkins 19 yard interception return (Fuad Reveiz kick),38,3
7,4.0,Bears,Wendell Davis 14 yard pass from Peter Tom Willis (Kevin Butler kick),38,10
