,Quarter,Time,Tm,Detail,CAR,SFO
0,1.0,,Panthers,John Kasay 50 yard field goal,3,0
1,2.0,,Panthers,John Kasay 42 yard field goal,6,0
2,2.0,,Panthers,Rocket Ismail 20 yard pass from Steve Beuerlein (John Kasay kick),13,0
3,2.0,,Panthers,John Kasay 41 yard field goal,16,0
4,2.0,,49ers,Terrell Owens 36 yard pass from Ty Detmer (Wade Richey kick),16,7
5,3.0,,49ers,Terrell Owens 5 yard pass from Ty Detmer (Wade Richey kick),16,14
6,3.0,,49ers,J.J. Stokes 29 yard pass from Ty Detmer (Terrell Owens pass from Ty Detmer ),16,22
7,4.0,,Panthers,William Floyd 2 yard rush (John Kasay kick),23,22
8,4.0,0:37,49ers,Wade Richey 46 yard field goal,23,25
