,Quarter,Tm,Detail,CAN,FRN
0,2.0,Yellow Jackets,George Sullivan unknown yard rush,0,6
1,4.0,Yellow Jackets,George Sullivan unknown yard rush,0,12
2,4.0,Bulldogs,Harry Robb unknown yard pass from Paul Hogan (Pete Henry kick),7,12
