,Quarter,Tm,Detail,PIT,MIA
0,1.0,Dolphins,Garo Yepremian 43 yard field goal,0,3
1,1.0,Steelers,Dave Smith 30 yard pass from Terry Bradshaw (Roy Gerela kick),7,3
2,1.0,Steelers,Ron Shanklin 28 yard pass from Terry Bradshaw (Roy Gerela kick),14,3
3,2.0,Steelers,Dave Smith 16 yard pass from Terry Bradshaw (Roy Gerela kick),21,3
4,2.0,Dolphins,Paul Warfield 12 yard pass from Bob Griese (Garo Yepremian kick),21,10
5,2.0,Dolphins,Paul Warfield 86 yard pass from Bob Griese (Garo Yepremian kick),21,17
6,4.0,Dolphins,Paul Warfield 60 yard pass from Bob Griese (Garo Yepremian kick),21,24
