,Quarter,Tm,Detail,MIN,SFO
0,1.0,Vikings,John Gilliam 12 yard pass from Fran Tarkenton (Fred Cox kick),7,0
1,1.0,49ers,Bruce Gossett 28 yard field goal,7,3
2,2.0,Vikings,Chuck Foreman 1 yard rush (Fred Cox kick),14,3
3,2.0,49ers,Bruce Gossett 41 yard field goal,14,6
4,3.0,49ers,Ken Willard 7 yard pass from Steve Spurrier (Bruce Gossett kick),14,13
5,4.0,Vikings,Fred Cox 22 yard field goal,17,13
