,Quarter,Tm,Detail,BAL,NWE
0,1.0,Patriots,Don Calhoun 1 yard rush (John Smith kick),0,7
1,2.0,Patriots,John Smith 22 yard field goal,0,10
2,3.0,Patriots,Rod Shoate 42 yard interception return (John Smith kick),0,17
3,3.0,Colts,Joe Washington 23 yard pass from Greg Landry (Steve Mike-Mayer kick),7,17
4,3.0,Patriots,John Smith 35 yard field goal,7,20
5,4.0,Patriots,Rick Sanford 22 yard special teams fumble return (John Smith kick),7,27
6,4.0,Colts,Curtis Dickey 28 yard rush (Steve Mike-Mayer kick),14,27
7,4.0,Patriots,Carlos Pennywell 9 yard pass from Matt Cavanaugh,14,33
8,4.0,Colts,Curtis Dickey 1 yard rush (Steve Mike-Mayer kick),21,33
9,4.0,Patriots,Don Calhoun 3 yard rush (John Smith kick),21,40
10,4.0,Patriots,Allan Clark 15 yard special teams fumble return (John Smith kick),21,47
