,Quarter,Tm,Detail,PIT,GNB
0,1.0,Packers,Billy Grimes 18 yard rush (Fred Cone kick),0,7
1,1.0,Packers,Bob Mann 40 yard pass from Tobin Rote (Fred Cone kick),0,14
2,1.0,Packers,Ray Pelfrey 20 yard pass from Bobby Thomason (Fred Cone kick),0,21
3,2.0,Packers,Tobin Rote 1 yard rush (Fred Cone kick),0,28
4,2.0,Steelers,Lynn Chandnois 33 yard pass from Chuck Ortmann (Joe Geri kick),7,28
5,2.0,Steelers,Lynn Chandnois 2 yard rush (Joe Geri kick),14,28
6,2.0,Steelers,Fran Rogel 1 yard rush (Joe Geri kick),21,28
7,2.0,Steelers,"Safety, Cloud tackled by Mehelich in end zone",23,28
8,3.0,Steelers,Jim Finks 25 yard interception return (Joe Geri kick),30,28
9,3.0,Steelers,Joe Geri 26 yard field goal,33,28
10,4.0,Packers,Bob Mann 16 yard pass from Tobin Rote (Fred Cone kick),33,35
