,Quarter,Time,Tm,Detail,BAL,DEN
0,1.0,,Broncos,Ed McCaffrey 4 yard pass from John Elway (Jason Elam kick),0,7
1,1.0,5:41,Broncos,Terrell Davis 71 yard rush (Jason Elam kick),0,14
2,2.0,5:41,Ravens,Matt Stover 45 yard field goal,3,14
3,2.0,5:41,Broncos,Terrell Davis 4 yard rush (Jason Elam kick),3,21
4,2.0,5:41,Ravens,Earnest Byner 4 yard pass from Vinny Testaverde (Matt Stover kick),10,21
5,2.0,5:41,Ravens,Matt Stover 33 yard field goal,13,21
6,2.0,5:41,Broncos,Ed McCaffrey 8 yard pass from John Elway (Jason Elam kick),13,28
7,3.0,5:41,Ravens,Floyd Turner 11 yard pass from Vinny Testaverde (Matt Stover kick),20,28
8,3.0,5:41,Ravens,Michael Jackson 25 yard pass from Vinny Testaverde (pass failed),26,28
9,3.0,5:41,Broncos,Jason Elam 34 yard field goal,26,31
10,3.0,5:41,Ravens,Michael Jackson 9 yard pass from Vinny Testaverde (Vinny Testaverde run),34,31
11,4.0,5:41,Broncos,Ed McCaffrey 6 yard pass from John Elway (Jason Elam kick),34,38
12,4.0,5:41,Broncos,John Elway 9 yard rush (Jason Elam kick),34,45
