,Quarter,Time,Tm,Detail,BUF,DET
0,1.0,,Lions,Herman Moore 51 yard pass from Dave Krieg (Jason Hanson kick),0,7
1,2.0,,Lions,Barry Sanders 4 yard rush (Jason Hanson kick),0,14
2,2.0,,Bills,Russell Copeland 20 yard pass from Jim Kelly (Steve Christie kick),7,14
3,2.0,,Lions,Aubrey Matthews 28 yard pass from Dave Krieg (Jason Hanson kick),7,21
4,3.0,,Bills,Pete Metzelaars 27 yard pass from Jim Kelly (Steve Christie kick),14,21
5,4.0,,Lions,Brett Perriman 12 yard pass from Dave Krieg (Jason Hanson kick),14,28
6,4.0,,Bills,Jim Kelly 15 yard rush (Steve Christie kick),21,28
7,4.0,,Lions,Willie Clay 28 yard interception return (Jason Hanson kick),21,35
