,Quarter,Time,Tm,Detail,NYJ,JAX
0,1.0,13:30,Jaguars,Stacey Mack 1 yard rush (Hayden Epstein kick),0,7
1,2.0,7:46,Jaguars,Stacey Mack 1 yard rush (Hayden Epstein kick),0,14
2,2.0,5:54,Jets,John Hall 46 yard field goal,3,14
3,3.0,10:31,Jaguars,Stacey Mack 8 yard rush (Hayden Epstein kick),3,21
4,3.0,0:32,Jaguars,Fred Taylor 22 yard rush (Hayden Epstein kick),3,28
