,Quarter,Time,Tm,Detail,CHI,ARI
0,1,,Bears,Ryan Wetnight 2 yard pass from Steve Walsh (Kevin Butler kick),7,0
1,2,,Cardinals,Greg Davis 49 yard field goal,7,3
2,2,,Bears,Kevin Butler 35 yard field goal,10,3
3,3,,Bears,Kevin Butler 52 yard field goal,13,3
4,3,,Cardinals,Greg Davis 22 yard field goal,13,6
5,3,,Bears,Kevin Butler 31 yard field goal,16,6
6,4,,Cardinals,Keith McCants 46 yard interception return (Greg Davis kick),16,13
7,4,,Cardinals,Greg Davis 47 yard field goal,16,16
8,OT,,Bears,Kevin Butler 27 yard field goal,19,16
