,Quarter,Tm,Detail,TOL,CHI
0,1.0,Bears,Joey Sternaman 12 yard rush (Dutch Sternaman kick),0,7
1,2.0,Bears,Dutch Sternaman unknown yard field goal,0,10
2,2.0,Bears,George Bolan unknown yard rush,0,16
3,3.0,Bears,Joey Sternaman unknown yard pass from Laurie Walquist,0,22
