,Quarter,Time,Tm,Detail,NOR,NYG
0,1.0,3:44,Giants,Kent Graham 6 yard rush (Cary Blanchard kick),0,7
1,1.0,0:00,Saints,Doug Brien 25 yard field goal,3,7
2,2.0,10:48,Giants,Cary Blanchard 41 yard field goal,3,10
3,2.0,1:03,Giants,Amani Toomer 27 yard pass from Kent Graham (Cary Blanchard kick),3,17
4,2.0,0:00,Giants,Joe Jurevicius 53 yard pass from Kent Graham (Cary Blanchard kick),3,24
5,3.0,4:07,Giants,Joe Montgomery 12 yard rush (Cary Blanchard kick),3,31
