,Quarter,Tm,Detail,CIN,CLE
0,1.0,Browns,Ozzie Newsome 19 yard pass from Brian Sipe (Matt Bahr kick),0,7
1,2.0,Browns,Matt Bahr 19 yard field goal,0,10
2,2.0,Bengals,Larry Kinnebrew 1 yard rush (Jim Breech kick),7,10
3,3.0,Browns,Mike Pruitt 1 yard rush (Matt Bahr kick),7,17
