,Quarter,Tm,Detail,TAM,MIN
0,1.0,Buccaneers,James Wilder 6 yard rush (Obed Ariri kick),7,0
1,1.0,Vikings,Jan Stenerud 30 yard field goal,7,3
2,2.0,Buccaneers,James Wilder 2 yard rush (Obed Ariri kick),14,3
3,2.0,Vikings,Steve Jordan 4 yard rush (Jan Stenerud kick),14,10
4,3.0,Vikings,Darrin Nelson 5 yard rush (Jan Stenerud kick),14,17
5,4.0,Buccaneers,Obed Ariri 29 yard field goal,17,17
6,4.0,Vikings,Ted Brown 3 yard pass from Wade Wilson (Jan Stenerud kick),17,24
7,4.0,Buccaneers,Kevin House 11 yard pass from Steve DeBerg (Obed Ariri kick),24,24
8,4.0,Vikings,Jan Stenerud 53 yard field goal,24,27
