,Quarter,Time,Tm,Detail,BUF,MIA
0,1.0,,Dolphins,Olindo Mare 37 yard field goal,0,3
1,2.0,,Dolphins,Ed Perry 3 yard pass from Dan Marino (Olindo Mare kick),0,10
2,2.0,,Dolphins,Olindo Mare 30 yard field goal,0,13
3,3.0,,Bills,Darick Holmes 1 yard rush (Steve Christie kick),7,13
4,3.0,,Dolphins,Olindo Mare 35 yard field goal,7,16
5,3.0,,Bills,Steve Christie 36 yard field goal,10,16
6,4.0,,Bills,Steve Christie 24 yard field goal,13,16
7,4.0,,Dolphins,Troy Drayton 30 yard pass from Dan Marino (Olindo Mare kick),13,23
8,4.0,,Dolphins,Karim Abdul-Jabbar 1 yard rush (Olindo Mare kick),13,30
