,Quarter,Tm,Detail,PIT,NYG
0,1.0,Giants,Ken Strong 44 yard field goal,0,3
1,3.0,Giants,Ken Strong 2 yard rush (Ken Strong kick),0,10
2,4.0,Giants,Wee Willie Smith 3 yard rush (Bo Molenda kick),0,17
3,4.0,Pirates,Bill Sortet 21 yard pass from Harp Vaughan (Mose Kelsch kick),7,17
