,Quarter,Tm,Detail,PHI,SDG
0,1.0,Chargers,Kellen Winslow 14 yard pass from Dan Fouts,0,6
1,1.0,Chargers,Rolf Benirschke 34 yard field goal,0,9
2,2.0,Chargers,Kellen Winslow 17 yard pass from Dan Fouts (Rolf Benirschke kick),0,16
3,2.0,Chargers,Rolf Benirschke 45 yard field goal,0,19
4,3.0,Eagles,Wilbert Montgomery 1 yard rush (Tony Franklin kick),7,19
5,4.0,Chargers,Rolf Benirschke 42 yard field goal,7,22
6,4.0,Eagles,Keith Krepfle 16 yard pass from Ron Jaworski (Tony Franklin kick),14,22
7,4.0,Eagles,Wilbert Montgomery 11 yard pass from Ron Jaworski (Tony Franklin kick),21,22
