,Quarter,Tm,Detail,NYJ,SEA
0,1.0,Seahawks,Efren Herrera 49 yard field goal,0,3
1,2.0,Seahawks,Efren Herrera 42 yard field goal,0,6
2,2.0,Seahawks,Steve Largent 14 yard pass from Jim Zorn (Efren Herrera kick),0,13
3,2.0,Seahawks,Efren Herrera 45 yard field goal,0,16
4,3.0,Seahawks,Sherman Smith 16 yard pass from Jim Zorn (Efren Herrera kick),0,23
5,3.0,Jets,Kevin Long 1 yard rush (Dave Jacobs kick),7,23
6,3.0,Seahawks,Sam McCullum 11 yard pass from Jim Zorn (Efren Herrera kick),7,30
