,Quarter,Tm,Detail,RAM,HOU
0,1.0,Rams,Flipper Anderson 4 yard pass from Jim Everett (Tony Zendejas kick),7,0
1,2.0,Rams,Jerome Bettis 1 yard rush (Tony Zendejas kick),14,0
2,2.0,Oilers,Al Del Greco 52 yard field goal,14,3
3,3.0,Oilers,Al Del Greco 25 yard field goal,14,6
4,3.0,Oilers,Ernest Givins 80 yard pass from Warren Moon (Al Del Greco kick),14,13
5,3.0,Rams,Travis McNeal 22 yard pass from Jim Everett (Tony Zendejas kick),21,13
6,4.0,Rams,Henry Ellard 48 yard pass from Jim Everett (Tony Zendejas kick),28,13
