,Quarter,Tm,Detail,DAY,CLE
0,1.0,Bulldogs,Ben Jones unknown yard rush (Hoge Workman kick),0,7
1,1.0,Bulldogs,Ben Jones unknown yard pass from Hoge Workman (Hoge Workman kick),0,14
2,3.0,Bulldogs,Link Lyman 50 yard pass from Hoge Workman (Hoge Workman kick),0,21
3,4.0,Bulldogs,Dave Noble unknown yard rush,0,28
4,4.0,Bulldogs,Wooky Roberts unknown yard rush (Ben Jones kick),0,35
