,Quarter,Time,Tm,Detail,CAR,SFO
0,1.0,,Panthers,John Kasay 39 yard field goal,3,0
1,1.0,,Panthers,Tim McKyer 96 yard interception return (John Kasay kick),10,0
2,2.0,,Panthers,John Kasay 47 yard field goal,13,0
3,4.0,,49ers,Derek Loville 1 yard rush (Tony Zendejas kick),13,7
