,Quarter,Time,Tm,Detail,NYJ,JAX
0,1.0,,Jaguars,Mike Hollis 35 yard field goal,0,3
1,1.0,,Jets,Adrian Murrell 14 yard pass from Frank Reich (Nick Lowery kick),7,3
2,2.0,,Jets,Wayne Chrebet 12 yard pass from Frank Reich (Nick Lowery kick),14,3
3,2.0,,Jaguars,Mike Hollis 40 yard field goal,14,6
4,2.0,,Jaguars,Jimmy Smith 15 yard pass from Mark Brunell (Willie Jackson pass from Mark Brunell),14,14
5,3.0,,Jaguars,Willie Jackson 41 yard pass from Mark Brunell (Mike Hollis kick),14,21
6,4.0,,Jets,Nick Lowery 20 yard field goal,17,21
