,Quarter,Tm,Detail,WAS,NYG
0,1.0,Giants,Jimmy Patton 98 yard kickoff return (Ben Agajanian kick),0,7
1,3.0,Giants,Alex Webster 52 yard rush (Ben Agajanian kick),0,14
2,3.0,Redskins,Vic Janowicz 48 yard pass from Eddie LeBaron (Vic Janowicz kick),7,14
3,3.0,Giants,Alex Webster 42 yard pass from Charlie Conerly (Ben Agajanian kick),7,21
4,3.0,Giants,Kyle Rote 36 yard pass from Charlie Conerly (Ben Agajanian kick),7,28
5,4.0,Giants,Jimmy Patton 69 yard punt return (Charlie Conerly kick),7,35
