,Quarter,Time,Tm,Detail,PHI,CAR
0,1.0,6:54,Panthers,DeAngelo Williams 11 yard rush (John Kasay kick),0,7
1,1.0,0:53,Eagles,David Akers 49 yard field goal,3,7
2,2.0,14:52,Eagles,Victor Abiamiri 2 yard defensive fumble return (David Akers kick),10,7
3,2.0,10:57,Eagles,DeSean Jackson 85 yard punt return (David Akers kick),17,7
4,2.0,9:55,Eagles,Brent Celek 9 yard pass from Donovan McNabb (David Akers kick),24,7
5,2.0,3:16,Eagles,Brian Westbrook 4 yard pass from Donovan McNabb (David Akers kick),31,7
6,2.0,1:42,Panthers,John Kasay 22 yard field goal,31,10
7,3.0,6:59,Eagles,Donovan McNabb 3 yard rush (David Akers kick),38,10
