,Quarter,Tm,Detail,CHI,TAM
0,2.0,Bears,Matt Suhey 2 yard rush (Bob Thomas kick),7,0
1,2.0,Bears,Walter Payton 8 yard rush (Bob Thomas kick),14,0
2,3.0,Bears,Walter Payton 3 yard rush,20,0
3,4.0,Bears,Mike Hartenstine 10 yard defensive fumble return (Bob Thomas kick),27,0
