,Quarter,Tm,Detail,PHI,WAS
0,1.0,Eagles,Pete Pihos 26 yard blocked punt return (Cliff Patton kick),7,0
1,1.0,Eagles,Pete Pihos 10 yard pass from Tommy Thompson (Cliff Patton kick),14,0
2,1.0,Redskins,Eddie Saenz 3 yard pass from Sammy Baugh (Dick Poillon kick),14,7
3,2.0,Eagles,Cliff Patton 17 yard field goal,17,7
4,3.0,Eagles,Steve Van Buren 23 yard rush (Cliff Patton kick),24,7
5,3.0,Eagles,Steve Van Buren 37 yard rush (Cliff Patton kick),31,7
6,4.0,Eagles,Jack Ferrante 42 yard pass from Tommy Thompson (Cliff Patton kick),38,7
7,4.0,Redskins,Jim Youel 3 yard rush (Dick Poillon kick),38,14
