,Quarter,Tm,Detail,PHO,BUF
0,1.0,Cardinals,Johnny Johnson 1 yard rush (Al Del Greco kick),7,0
1,2.0,Bills,Keith McKeller 18 yard pass from Jim Kelly (Scott Norwood kick),7,7
2,2.0,Bills,Butch Rolle 1 yard pass from Jim Kelly (Scott Norwood kick),7,14
3,2.0,Bills,Steve Tasker 24 yard pass from Jim Kelly (Scott Norwood kick),7,21
4,3.0,Cardinals,Ernie Jones 29 yard pass from Timm Rosenbach (Al Del Greco kick),14,21
5,4.0,Bills,Scott Norwood 25 yard field goal,14,24
6,4.0,Bills,Don Beebe 11 yard pass from Jim Kelly (Scott Norwood kick),14,31
7,4.0,Bills,Jamie Mueller 1 yard rush (Scott Norwood kick),14,38
8,4.0,Bills,Kenneth Davis 13 yard rush (Scott Norwood kick),14,45
