,Quarter,Tm,Detail,SEA,CLE
0,1.0,Seahawks,Norm Johnson 24 yard field goal,3,0
1,2.0,Browns,Matt Bahr 40 yard field goal,3,3
2,3.0,Seahawks,Curt Warner 1 yard rush (Norm Johnson kick),10,3
3,4.0,Browns,Boyce Green 5 yard pass from Brian Sipe,10,9
4,4.0,Seahawks,Curt Warner 1 yard rush (Norm Johnson kick),17,9
5,4.0,Seahawks,Jacob Green 73 yard interception return (Norm Johnson kick),24,9
