,Quarter,Time,Tm,Detail,JAX,PIT
0,1.0,,Steelers,Erric Pegram 6 yard rush (Norm Johnson kick),0,7
1,2.0,13:56,Steelers,Yancey Thigpen 15 yard pass from Neil O'Donnell (Norm Johnson kick),0,14
2,2.0,13:56,Steelers,John Williams 6 yard pass from Neil O'Donnell (Norm Johnson kick),0,21
3,3.0,13:56,Jaguars,Pete Mitchell 16 yard pass from Mark Brunell (Mike Hollis kick),7,21
4,4.0,13:56,Steelers,Norm Johnson 36 yard field goal,7,24
