,Quarter,Tm,Detail,OOR,LOU
0,4.0,Indians,Emmett McLemore unknown yard pass from Joe Guyon,6,0
1,4.0,Indians,Joe Guyon 5 yard rush,12,0
2,4.0,Indians,Pete Calac unknown yard rush (Emmett McLemore pass from Joe Guyon),19,0
