,Quarter,Time,Tm,Detail,BUF,HOU
0,2.0,6:47,Bills,Steve Christie 37 yard field goal,3,0
1,2.0,6:47,Bills,Steve Christie 42 yard field goal,6,0
2,2.0,6:47,Bills,Steve Christie 48 yard field goal,9,0
3,3.0,6:47,Bills,Steve Christie 29 yard field goal,12,0
4,4.0,6:47,Bills,Steve Christie 48 yard field goal,15,0
5,4.0,6:47,Oilers,Pat Coleman 22 yard pass from Bucky Richardson (Al Del Greco kick),15,7
