,Quarter,Tm,Detail,HOU,ATL
0,1.0,Oilers,Earl Campbell 73 yard rush (Toni Fritsch kick),7,0
1,2.0,Falcons,Bubba Bean 38 yard pass from June Jones (Fred Steinfort kick),7,7
2,2.0,Falcons,Tom Moriarty special teams fumble recovery in end zone (Fred Steinfort kick),7,14
3,3.0,Oilers,Rich Caster 8 yard pass from Dan Pastorini (Toni Fritsch kick),14,14
4,3.0,Falcons,Fred Steinfort 30 yard field goal,14,17
5,4.0,Falcons,Fred Steinfort 48 yard field goal,14,20
