,Quarter,Time,Tm,Detail,BUF,NYJ
0,1.0,8:36,Jets,John Hall 33 yard field goal,0,3
1,2.0,14:09,Jets,John Hall 28 yard field goal,0,6
2,2.0,0:19,Bills,Larry Centers 5 yard rush (Shayne Graham kick),7,6
3,3.0,11:17,Bills,Peerless Price 22 yard pass from Alex Van Pelt (Shayne Graham kick),14,6
4,4.0,12:36,Jets,John Hall 32 yard field goal,14,9
