,Quarter,Time,Tm,Detail,NOR,SFO
0,1.0,,49ers,Gary Anderson 43 yard field goal,0,3
1,1.0,,49ers,Brent Jones 18 yard pass from Steve Young (Gary Anderson kick),0,10
2,1.0,,49ers,Gary Anderson 22 yard field goal,0,13
3,2.0,,49ers,Gary Anderson 40 yard field goal,0,16
4,2.0,,49ers,Brent Jones 1 yard pass from Steve Young (Gary Anderson kick),0,23
5,3.0,,49ers,Garrison Hearst 1 yard pass from Steve Young (Gary Anderson kick),0,30
6,3.0,,49ers,Gary Anderson 38 yard field goal,0,33
7,4.0,1:46,Saints,Andre Hastings 8 yard pass from Danny Wuerffel (Doug Brien kick),7,33
