,Quarter,Tm,Detail,SFO,DET
0,1.0,Lions,Doak Walker 23 yard field goal,0,3
1,2.0,Lions,Bobby Layne 1 yard rush (Doak Walker kick),0,10
2,3.0,49ers,Joe Perry 1 yard rush (Gordie Soltau kick),7,10
3,3.0,Lions,Cloyce Box 23 yard pass from Bobby Layne (Doak Walker kick),7,17
4,4.0,Lions,Doak Walker 28 yard pass from Bobby Layne (Doak Walker kick),7,24
