,Quarter,Tm,Detail,ATL,SFO
0,1.0,Falcons,Greg Davis 37 yard field goal,3,0
1,2.0,49ers,"Safety, Miller forced out of end zone",3,2
2,2.0,49ers,Mike Cofer 47 yard field goal,3,5
3,3.0,49ers,Jerry Rice 35 yard pass from Joe Montana (Mike Cofer kick),3,12
4,3.0,Falcons,Shawn Collins 7 yard pass from Chris Miller (Greg Davis kick),10,12
5,3.0,49ers,Brent Jones 67 yard pass from Joe Montana (Mike Cofer kick),10,19
6,4.0,Falcons,Greg Davis 35 yard field goal,13,19
