,Quarter,Tm,Detail,SDG,IND
0,1.0,Colts,Dean Biasucci 37 yard field goal,0,3
1,2.0,Colts,Dean Biasucci 27 yard field goal,0,6
2,2.0,Colts,Albert Bentley 8 yard rush (Dean Biasucci kick),0,13
3,3.0,Chargers,Vince Abbott 42 yard field goal,3,13
4,3.0,Chargers,Vince Abbott 37 yard field goal,6,13
5,4.0,Chargers,Lionel James 5 yard pass from Dan Fouts (Vince Abbott kick),13,13
6,4.0,Chargers,Vince Abbott 39 yard field goal,16,13
