,Quarter,Tm,Detail,DEN,PIT
0,1.0,Broncos,Jim Turner 22 yard field goal,3,0
1,1.0,Steelers,Lynn Swann 43 yard pass from Terry Bradshaw (Roy Gerela kick),3,7
2,2.0,Steelers,Lynn Swann 9 yard pass from Terry Bradshaw (Roy Gerela kick),3,14
3,2.0,Steelers,Roy Gerela 39 yard field goal,3,17
4,2.0,Broncos,Jim Turner 39 yard field goal,6,17
5,2.0,Broncos,Jim Turner 36 yard field goal,9,17
6,4.0,Steelers,Roy Gerela 28 yard field goal,9,20
