,Quarter,Tm,Detail,RAI,DEN
0,1.0,Broncos,Michael Brooks 54 yard defensive fumble return (David Treadwell kick),0,7
1,2.0,Raiders,Nick Bell 1 yard rush (Jeff Jaeger kick),7,7
2,2.0,Raiders,Jeff Jaeger 41 yard field goal,10,7
3,3.0,Raiders,Jeff Jaeger 34 yard field goal,13,7
4,3.0,Broncos,David Treadwell 39 yard field goal,13,10
5,4.0,Broncos,Reggie Rivers 1 yard rush (David Treadwell kick),13,17
